时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额	换手%	成交次数
2021-06-29,二	32.8	38.68	32.5	34.65	297.36%	70.87%	24,316,562	846,257,400	73.14	92578
2021-06-30,三	33	40.79	32.01	36.9	6.49%	25.34%	22,509,124	820,125,150	67.7	51213
2021-07-01,四	35.5	36.53	30.3	30.9	-16.26%	16.88%	17,141,525	576,005,930	51.56	38525
2021-07-02,五	29.11	29.9	26.79	26.93	-12.85%	10.06%	14,112,835	393,209,520	42.45	28770
2021-07-05,一	26.51	27.95	25.05	26.1	-3.08%	10.77%	11,083,336	292,035,530	33.34	22089
2021-07-06,二	26	31.32	26	31.32	20.00%	20.38%	13,736,889	390,150,910	41.32	22977
2021-07-07,三	31	34.11	30	31	-1.02%	13.12%	17,238,834	550,174,610	51.85	31154
2021-07-08,四	29.92	29.94	27.8	28.19	-9.06%	6.90%	12,388,892	352,951,320	37.26	22611
2021-07-09,五	27.52	28.47	26.88	26.97	-4.33%	5.64%	7,874,636	216,113,380	23.69	13923
2021-07-12,一	26.83	27.88	26.71	27.06	0.33%	4.34%	5,990,829	162,848,250	18.02	11106
2021-07-13,二	26.82	28.37	26.04	27.59	1.96%	8.61%	8,792,509	238,604,900	26.45	14777
2021-07-14,三	27.13	29.1	27.01	27.31	-1.01%	7.58%	7,229,293	202,267,220	21.74	12671
2021-07-15,四	26.97	29	26.2	28.23	3.37%	10.25%	9,368,669	263,617,280	28.18	16059
2021-07-16,五	27.63	28.14	26.58	26.6	-5.77%	5.53%	7,390,833	201,698,970	22.23	13367
2021-07-19,一	26.05	27.4	26.02	27.3	2.63%	5.19%	4,709,295	126,440,181	14.16	8212
2021-07-20,二	27.95	32.3	27.7	29.43	7.80%	16.85%	12,864,809	384,935,140	38.7	23009
2021-07-21,三	29.14	30.59	28.1	29.4	-0.10%	8.46%	10,316,400	301,848,710	31.03	18467
2021-07-22,四	28.6	29.1	27.8	27.8	-5.44%	4.42%	7,196,745	202,964,920	21.65	13358
2021-07-23,五	27.84	28.44	26.63	26.72	-3.88%	6.51%	5,453,612	149,190,810	16.4	10362
2021-07-26,一	26.72	28.18	26.28	28.18	5.46%	7.11%	5,633,016	153,042,200	16.94	10093
2021-07-27,二	28	28.38	26.8	26.93	-4.44%	5.61%	4,887,609	135,079,760	14.7	8492
2021-07-28,三	26.1	26.66	23.5	24.79	-7.95%	11.73%	4,846,119	121,424,356	14.58	8304
2021-07-29,四	24.9	25.66	24.76	24.97	0.73%	3.63%	3,694,026	93,188,609	11.11	6378
2021-07-30,五	24.63	25.75	24.62	24.89	-0.32%	4.53%	3,792,606	95,537,209	11.41	6868
2021-08-02,一	24.6	26.45	24.02	25.87	3.94%	9.76%	4,399,048	110,720,056	13.23	8730
2021-08-03,二	25.33	26.49	24.88	26.27	1.55%	6.22%	5,297,480	136,316,470	15.93	10519
2021-08-04,三	27	27.01	25.61	25.88	-1.48%	5.33%	4,228,963	110,211,375	12.72	8350
2021-08-05,四	25.49	25.79	24.8	24.85	-3.98%	3.83%	3,957,259	99,564,787	11.9	6697
2021-08-06,五	24.86	26.2	24.39	25.39	2.17%	7.28%	5,084,014	129,593,580	15.29	8918
2021-08-09,一	24.81	25.7	24.66	25.7	1.22%	4.10%	3,439,676	86,419,340	10.35	6250
2021-08-10,二	25.48	26.28	25.1	25.25	-1.75%	4.59%	3,666,152	93,877,234	11.03	6578
2021-08-11,三	24.95	25.9	24.8	25.65	1.58%	4.36%	3,669,222	93,564,598	11.04	6812
2021-08-12,四	25.49	26.15	25.11	26.15	1.95%	4.05%	4,597,256	118,276,345	13.83	8688
2021-08-13,五	26.85	28	26.23	26.28	0.50%	6.77%	8,059,449	219,228,160	24.24	13766
2021-08-16,一	25.47	26.89	24.7	26.78	1.90%	8.33%	6,349,125	162,637,090	19.1	10681
2021-08-17,二	26.3	28	26	27.58	2.99%	7.47%	7,489,478	202,932,190	22.53	12867
2021-08-18,三	28.22	29.3	26.72	26.85	-2.65%	9.35%	6,576,787	183,082,140	19.78	11468
2021-08-19,四	26.18	26.45	25.51	25.52	-4.95%	3.50%	4,507,330	117,131,168	13.56	8049
2021-08-20,五	25.4	25.88	24.81	24.88	-2.51%	4.19%	3,139,645	79,154,374	9.44	5948
2021-08-23,一	24.65	26.04	24.51	25.85	3.90%	6.15%	3,389,539	86,931,932	10.2	7289
2021-08-24,二	26.29	26.36	25.57	25.57	-1.08%	3.06%	2,895,737	74,911,543	8.71	6675
2021-08-25,三	25.45	27.5	25.45	27.2	6.37%	8.02%	5,899,864	156,784,830	17.75	11853
2021-08-26,四	27.16	27.16	25.92	25.96	-4.56%	4.56%	4,079,294	108,034,246	12.27	8180
2021-08-27,五	25.48	26.17	25.3	25.58	-1.46%	3.35%	2,804,281	71,926,224	8.43	6888
2021-08-30,一	25.58	25.82	24.48	24.68	-3.52%	5.24%	3,810,368	95,171,071	11.46	8661
2021-08-31,二	24.5	24.79	23.13	23.63	-4.25%	6.73%	3,946,263	94,233,438	11.87	8286
2021-09-01,三	23.33	25.35	23.33	24.78	4.87%	8.55%	4,025,986	98,917,237	12.11	6721
