时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额	换手%	成交次数
2026-01-23,五	27.05	27.05	27.05	27.05	210.21%	0.00%	48,200	1,303,810	0.025	40
2026-01-23,五	27.05	27.08	26.96	26.98	-0.26%	0.44%	199,400	5,388,758	0.105	355
2026-01-23,五	26.97	27.08	26.91	26.93	-0.19%	0.63%	167,680	4,527,464	0.089	334
2026-01-23,五	26.92	26.93	26.88	26.91	-0.07%	0.19%	216,300	5,820,356	0.114	324
2026-01-23,五	26.93	27.02	26.93	27	0.33%	0.33%	97,300	2,625,035	0.051	122
2026-01-23,五	27.04	27.11	27.04	27.11	0.41%	0.26%	70,500	1,908,519	0.037	104
2026-01-23,五	27.08	27.14	27.08	27.09	-0.07%	0.22%	52,000	1,409,112	0.027	104
2026-01-23,五	27.08	27.09	27.05	27.07	-0.07%	0.15%	60,400	1,635,272	0.032	96
2026-01-23,五	27.09	27.11	27.07	27.1	0.11%	0.15%	61,700	1,671,360	0.033	120
2026-01-23,五	27.08	27.08	27.07	27.07	-0.11%	0.04%	53,300	1,443,322	0.028	77
2026-01-23,五	27.07	27.09	27.06	27.09	0.07%	0.11%	42,400	1,147,776	0.022	86
2026-01-23,五	27.09	27.09	27.01	27.01	-0.30%	0.30%	81,600	2,207,395	0.043	134
2026-01-23,五	27.04	27.13	27.02	27.13	0.44%	0.41%	106,900	2,893,250	0.056	125
2026-01-23,五	27.14	27.14	27.07	27.07	-0.22%	0.26%	63,100	1,709,903	0.033	141
2026-01-23,五	27.07	27.08	27.05	27.07	0.00%	0.11%	47,200	1,277,552	0.025	83
2026-01-23,五	27.1	27.1	27.05	27.06	-0.04%	0.18%	27,600	747,080	0.015	41
2026-01-23,五	27.06	27.07	27.04	27.05	-0.04%	0.11%	52,800	1,428,789	0.028	75
2026-01-23,五	27.04	27.05	27	27.01	-0.15%	0.18%	80,400	2,172,626	0.042	146
2026-01-23,五	27.01	27.07	27.01	27.06	0.19%	0.22%	57,800	1,563,049	0.031	52
2026-01-23,五	27.05	27.07	27.03	27.06	0.00%	0.15%	36,000	974,050	0.019	64
2026-01-23,五	27.1	27.13	27.07	27.13	0.26%	0.22%	57,400	1,555,413	0.03	63
2026-01-23,五	27.13	27.13	27.09	27.13	0.00%	0.15%	60,100	1,629,456	0.032	98
2026-01-23,五	27.13	27.13	27.11	27.12	-0.04%	0.07%	21,000	569,541	0.011	79
2026-01-23,五	27.12	27.12	27.1	27.12	0.00%	0.07%	35,500	962,531	0.019	71
2026-01-23,五	27.12	27.2	27.12	27.18	0.22%	0.29%	129,900	3,526,657	0.069	121
2026-01-23,五	27.2	27.25	27.19	27.23	0.18%	0.22%	84,133	2,290,001	0.044	191
2026-01-23,五	27.21	27.22	27.2	27.21	-0.07%	0.07%	48,700	1,325,038	0.026	96
2026-01-23,五	27.21	27.21	27.19	27.21	0.00%	0.07%	43,000	1,169,699	0.023	60
2026-01-23,五	27.21	27.21	27.2	27.2	-0.04%	0.04%	21,800	593,055	0.012	34
2026-01-23,五	27.2	27.21	27.19	27.19	-0.04%	0.07%	42,100	1,145,260	0.022	79
2026-01-23,五	27.19	27.21	27.19	27.21	0.07%	0.07%	42,600	1,158,584	0.023	55
2026-01-23,五	27.21	27.21	27.18	27.18	-0.11%	0.11%	35,300	959,870	0.019	153
2026-01-23,五	27.18	27.18	27.15	27.16	-0.07%	0.11%	17,100	464,537	0.009	26
2026-01-23,五	27.16	27.17	27.14	27.17	0.04%	0.11%	96,800	2,628,312	0.051	105
2026-01-23,五	27.17	27.18	27.16	27.18	0.04%	0.07%	24,600	668,346	0.013	34
2026-01-23,五	27.17	27.18	27.16	27.17	-0.04%	0.07%	27,600	749,819	0.015	40
2026-01-23,五	27.16	27.17	27.15	27.17	0.00%	0.07%	24,200	657,201	0.013	61
2026-01-23,五	27.18	27.2	27.16	27.2	0.11%	0.15%	52,600	1,430,168	0.028	123
2026-01-23,五	27.21	27.21	27.18	27.19	-0.04%	0.11%	11,500	312,678	0.006	56
2026-01-23,五	27.18	27.18	27.14	27.14	-0.18%	0.15%	53,200	1,445,255	0.028	69
2026-01-23,五	27.14	27.19	27.14	27.19	0.18%	0.18%	37,900	1,029,439	0.02	55
2026-01-23,五	27.19	27.19	27.15	27.16	-0.11%	0.15%	29,600	804,094	0.016	32
2026-01-23,五	27.17	27.19	27.16	27.19	0.11%	0.11%	23,700	643,898	0.013	70
2026-01-23,五	27.16	27.17	27.15	27.17	-0.07%	0.07%	30,500	828,509	0.016	55
2026-01-23,五	27.16	27.19	27.16	27.19	0.07%	0.11%	33,100	899,907	0.017	46
2026-01-23,五	27.21	27.25	27.21	27.23	0.15%	0.15%	73,700	2,007,091	0.039	111
2026-01-23,五	27.24	27.25	27.2	27.21	-0.07%	0.18%	63,700	1,734,723	0.034	68
2026-01-23,五	27.21	27.24	27.21	27.22	0.04%	0.11%	33,150	902,442	0.018	59
2026-01-23,五	27.21	27.22	27.21	27.21	-0.04%	0.04%	14,700	400,065	0.008	43
2026-01-23,五	27.23	27.26	27.2	27.2	-0.04%	0.22%	148,793	4,051,736	0.079	110
2026-01-23,五	27.26	27.26	27.25	27.26	0.22%	0.04%	34,600	943,006	0.018	47
2026-01-23,五	27.26	27.26	27.25	27.25	-0.04%	0.04%	51,000	1,390,065	0.027	50
2026-01-23,五	27.24	27.27	27.24	27.27	0.07%	0.11%	51,100	1,392,803	0.027	66
2026-01-23,五	27.27	27.27	27.24	27.25	-0.07%	0.11%	55,000	1,498,781	0.029	85
2026-01-23,五	27.24	27.26	27.22	27.23	-0.07%	0.15%	20,900	569,453	0.011	46
2026-01-23,五	27.22	27.22	27.2	27.21	-0.07%	0.07%	18,400	500,485	0.01	51
2026-01-23,五	27.21	27.21	27.19	27.19	-0.07%	0.07%	13,300	361,817	0.007	31
2026-01-23,五	27.18	27.2	27.18	27.2	0.04%	0.07%	26,800	728,739	0.014	49
2026-01-23,五	27.2	27.23	27.2	27.22	0.07%	0.11%	21,000	571,293	0.011	35
2026-01-23,五	27.23	27.23	27.22	27.23	0.04%	0.04%	7,000	190,590	0.004	16
2026-01-23,五	27.23	27.23	27.21	27.21	-0.07%	0.07%	21,700	590,743	0.011	37
2026-01-23,五	27.21	27.23	27.2	27.21	0.00%	0.11%	16,900	459,862	0.009	36
2026-01-23,五	27.2	27.21	27.2	27.2	-0.04%	0.04%	25,200	685,551	0.013	46
2026-01-23,五	27.2	27.2	27.17	27.17	-0.11%	0.11%	22,200	603,507	0.012	49
2026-01-23,五	27.16	27.16	27.14	27.14	-0.11%	0.07%	56,600	1,536,579	0.03	63
2026-01-23,五	27.15	27.18	27.15	27.17	0.11%	0.11%	26,100	708,881	0.014	61
2026-01-23,五	27.19	27.19	27.16	27.19	0.07%	0.11%	13,600	369,551	0.007	32
2026-01-23,五	27.19	27.19	27.14	27.14	-0.18%	0.18%	14,200	385,624	0.008	43
2026-01-23,五	27.16	27.22	27.16	27.18	0.15%	0.22%	27,000	734,272	0.014	43
2026-01-23,五	27.18	27.22	27.18	27.22	0.15%	0.15%	10,300	280,279	0.005	20
2026-01-23,五	27.21	27.23	27.21	27.23	0.04%	0.07%	15,500	421,962	0.008	24
2026-01-23,五	27.22	27.23	27.21	27.23	0.00%	0.07%	10,100	274,956	0.005	23
2026-01-23,五	27.23	27.23	27.21	27.21	-0.07%	0.07%	8,900	242,270	0.005	13
2026-01-23,五	27.21	27.23	27.21	27.21	0.00%	0.07%	19,700	536,188	0.01	29
2026-01-23,五	27.21	27.22	27.21	27.21	0.00%	0.04%	42,100	1,145,933	0.022	81
2026-01-23,五	27.22	27.23	27.21	27.22	0.04%	0.07%	9,300	253,189	0.005	24
2026-01-23,五	27.21	27.23	27.21	27.23	0.04%	0.07%	6,200	168,773	0.003	12
2026-01-23,五	27.23	27.23	27.21	27.21	-0.07%	0.07%	15,100	410,958	0.008	69
2026-01-23,五	27.21	27.22	27.21	27.22	0.04%	0.04%	3,600	97,978	0.002	10
2026-01-23,五	27.22	27.22	27.2	27.2	-0.07%	0.07%	46,700	1,270,393	0.025	73
2026-01-23,五	27.2	27.22	27.18	27.22	0.07%	0.15%	32,700	889,627	0.017	63
2026-01-23,五	27.22	27.22	27.19	27.19	-0.11%	0.11%	12,700	345,485	0.007	32
2026-01-23,五	27.19	27.21	27.18	27.18	-0.04%	0.11%	26,400	717,819	0.014	38
2026-01-23,五	27.18	27.2	27.18	27.2	0.07%	0.07%	32,400	880,962	0.017	26
2026-01-23,五	27.2	27.21	27.19	27.19	-0.04%	0.07%	30,100	818,699	0.016	65
2026-01-23,五	27.19	27.2	27.19	27.2	0.04%	0.04%	14,800	402,437	0.008	37
2026-01-23,五	27.2	27.2	27.17	27.17	-0.11%	0.11%	27,600	750,157	0.015	21
2026-01-23,五	27.16	27.17	27.15	27.17	0.00%	0.07%	38,900	1,056,395	0.021	63
2026-01-23,五	27.17	27.2	27.14	27.2	0.11%	0.22%	56,400	1,532,300	0.03	150
2026-01-23,五	27.2	27.2	27.16	27.16	-0.15%	0.15%	9,800	266,321	0.005	23
2026-01-23,五	27.18	27.2	27.18	27.19	0.11%	0.07%	21,600	587,317	0.011	35
2026-01-23,五	27.18	27.18	27.17	27.17	-0.07%	0.04%	3,900	105,975	0.002	14
2026-01-23,五	27.16	27.21	27.15	27.21	0.15%	0.22%	72,100	1,959,599	0.038	116
2026-01-23,五	27.21	27.21	27.2	27.2	-0.04%	0.04%	22,800	620,306	0.012	29
2026-01-23,五	27.2	27.21	27.2	27.2	0.00%	0.04%	36,200	984,903	0.019	56
2026-01-23,五	27.21	27.21	27.2	27.21	0.04%	0.04%	9,200	250,324	0.005	13
2026-01-23,五	27.21	27.21	27.19	27.19	-0.07%	0.07%	14,900	405,258	0.008	21
2026-01-23,五	27.18	27.21	27.18	27.2	0.04%	0.11%	32,600	886,674	0.017	43
2026-01-23,五	27.2	27.21	27.2	27.21	0.04%	0.04%	8,600	233,976	0.005	21
2026-01-23,五	27.21	27.22	27.2	27.2	-0.04%	0.07%	9,200	250,329	0.005	39
2026-01-23,五	27.2	27.22	27.2	27.21	0.04%	0.07%	23,600	642,033	0.012	28
2026-01-23,五	27.22	27.22	27.18	27.18	-0.11%	0.15%	58,600	1,593,370	0.031	116
2026-01-23,五	27.18	27.18	27.17	27.18	0.00%	0.04%	17,900	486,513	0.009	29
2026-01-23,五	27.17	27.18	27.17	27.18	0.00%	0.04%	8,200	222,877	0.004	15
2026-01-23,五	27.19	27.19	27.18	27.18	0.00%	0.04%	16,800	456,786	0.009	16
2026-01-23,五	27.19	27.19	27.18	27.19	0.04%	0.04%	11,100	301,717	0.006	25
2026-01-23,五	27.18	27.19	27.18	27.19	0.00%	0.04%	2,700	73,397	0.001	8
2026-01-23,五	27.19	27.19	27.18	27.19	0.00%	0.04%	12,800	347,964	0.007	13
2026-01-23,五	27.19	27.19	27.18	27.18	-0.04%	0.04%	58,500	1,590,327	0.031	130
2026-01-23,五	27.18	27.18	27.17	27.18	0.00%	0.04%	12,100	328,851	0.006	9
2026-01-23,五	27.18	27.2	27.18	27.18	0.00%	0.07%	14,800	402,317	0.008	32
2026-01-23,五	27.18	27.19	27.18	27.18	0.00%	0.04%	5,800	157,657	0.003	20
2026-01-23,五	27.19	27.19	27.18	27.18	0.00%	0.04%	10,300	280,009	0.005	16
2026-01-23,五	27.19	27.2	27.18	27.18	0.00%	0.07%	21,200	576,418	0.011	27
2026-01-23,五	27.18	27.23	27.18	27.23	0.18%	0.18%	73,700	2,004,967	0.039	67
2026-01-23,五	27.22	27.29	27.22	27.29	0.22%	0.26%	381,800	10,400,430	0.202	170
2026-01-23,五	27.3	27.36	27.3	27.35	0.22%	0.22%	175,300	4,792,350	0.093	249
2026-01-23,五	27.35	27.38	27.35	27.38	0.11%	0.11%	95,400	2,610,830	0.05	152
2026-01-23,五	27.38	27.39	27.31	27.32	-0.22%	0.29%	54,400	1,488,790	0.029	87
2026-01-23,五	27.35	27.38	27.35	27.38	0.22%	0.11%	26,100	714,240	0.014	52
2026-01-23,五	27.38	27.38	27.31	27.38	0.00%	0.26%	51,400	1,406,250	0.027	73
2026-01-23,五	27.38	27.38	27.33	27.33	-0.18%	0.18%	91,300	2,496,860	0.048	281
2026-01-23,五	27.33	27.35	27.32	27.33	0.00%	0.11%	29,100	795,360	0.015	60
2026-01-23,五	27.33	27.33	27.28	27.3	-0.11%	0.18%	22,900	625,310	0.012	44
2026-01-23,五	27.28	27.3	27.28	27.3	0.00%	0.07%	23,300	636,030	0.012	74
2026-01-23,五	27.3	27.31	27.29	27.3	0.00%	0.07%	9,200	251,170	0.005	18
2026-01-23,五	27.31	27.34	27.31	27.34	0.15%	0.11%	23,500	642,210	0.012	23
2026-01-23,五	27.35	27.36	27.31	27.32	-0.07%	0.18%	48,900	1,336,980	0.026	113
2026-01-23,五	27.31	27.35	27.31	27.35	0.11%	0.15%	38,100	1,041,670	0.02	34
2026-01-23,五	27.35	27.4	27.35	27.4	0.18%	0.18%	55,600	1,522,020	0.029	74
2026-01-23,五	27.38	27.38	27.37	27.38	-0.07%	0.04%	113,400	3,104,360	0.06	106
2026-01-23,五	27.37	27.37	27.35	27.36	-0.07%	0.07%	26,200	716,950	0.014	38
2026-01-23,五	27.35	27.36	27.35	27.36	0.00%	0.04%	13,200	361,100	0.007	18
2026-01-23,五	27.36	27.36	27.34	27.35	-0.04%	0.07%	15,200	415,680	0.008	26
2026-01-23,五	27.34	27.35	27.32	27.32	-0.11%	0.11%	22,200	606,660	0.012	34
2026-01-23,五	27.33	27.34	27.32	27.33	0.04%	0.07%	25,700	702,310	0.014	25
2026-01-23,五	27.33	27.34	27.33	27.33	0.00%	0.04%	25,300	691,550	0.013	38
2026-01-23,五	27.34	27.35	27.34	27.34	0.04%	0.04%	26,200	716,410	0.014	38
2026-01-23,五	27.34	27.34	27.32	27.32	-0.07%	0.07%	13,500	368,970	0.007	34
2026-01-23,五	27.33	27.33	27.32	27.33	0.04%	0.04%	14,400	393,540	0.008	26
2026-01-23,五	27.33	27.34	27.33	27.34	0.04%	0.04%	9,200	251,470	0.005	27
2026-01-23,五	27.3	27.3	27.28	27.29	-0.18%	0.07%	175,000	4,778,230	0.092	101
2026-01-23,五	27.28	27.32	27.28	27.3	0.04%	0.15%	29,500	805,140	0.016	33
2026-01-23,五	27.32	27.34	27.32	27.33	0.11%	0.07%	18,800	513,670	0.01	34
2026-01-23,五	27.33	27.33	27.3	27.3	-0.11%	0.11%	43,400	1,185,870	0.023	49
2026-01-23,五	27.29	27.31	27.29	27.3	0.00%	0.07%	29,000	791,740	0.015	27
2026-01-23,五	27.29	27.3	27.29	27.3	0.00%	0.04%	3,189	87,050	0.002	10
2026-01-23,五	27.3	27.3	27.29	27.29	-0.04%	0.04%	7,611	207,730	0.004	20
2026-01-23,五	27.29	27.29	27.26	27.26	-0.11%	0.11%	13,300	362,730	0.007	36
2026-01-23,五	27.26	27.27	27.25	27.26	0.00%	0.07%	52,600	1,433,300	0.028	64
2026-01-23,五	27.29	27.32	27.29	27.32	0.22%	0.11%	68,100	1,858,020	0.036	52
2026-01-23,五	27.31	27.32	27.3	27.3	-0.07%	0.07%	12,100	330,460	0.006	14
2026-01-23,五	27.3	27.32	27.28	27.28	-0.07%	0.15%	23,500	641,460	0.012	44
2026-01-23,五	27.27	27.3	27.27	27.3	0.07%	0.11%	15,300	417,550	0.008	21
2026-01-23,五	27.31	27.31	27.3	27.31	0.04%	0.04%	9,700	264,840	0.005	30
2026-01-23,五	27.3	27.34	27.3	27.33	0.07%	0.15%	58,700	1,603,720	0.031	106
2026-01-23,五	27.33	27.34	27.33	27.33	0.00%	0.04%	10,800	295,210	0.006	15
2026-01-23,五	27.33	27.38	27.3	27.33	0.00%	0.29%	126,600	3,462,130	0.067	138
2026-01-23,五	27.35	27.37	27.33	27.36	0.11%	0.15%	11,800	322,860	0.006	29
2026-01-23,五	27.34	27.34	27.32	27.34	-0.07%	0.07%	14,700	401,670	0.008	27
2026-01-23,五	27.34	27.35	27.32	27.34	0.00%	0.11%	19,000	519,400	0.01	50
2026-01-23,五	27.34	27.34	27.33	27.33	-0.04%	0.04%	6,500	177,690	0.003	18
